m/z,I
698.35789,216794
836.43760,323031
892.50006,216207
898.47460,528399
974.43653,257154
1010.50159,224956
1024.51673,178940
1032.54743,367760
1048.59030,209414
1064.51234,132551
1079.52316,204297
1083.52563,305332
1096.53848,572356
1105.57525,1724266
1105.62285,286329
1138.56031,390880
1146.56523,338879
1150.59654,643230
1162.62186,401555
1163.59177,783028
1170.55725,426309
1176.64888,234551
1180.64342,337757
1182.61140,409995
1183.57055,588590
1193.51808,169170
1196.63873,278074
1215.61211,308433
1216.68001,343807
1267.67544,493787
1273.54898,403825
1273.70230,289446
1283.64189,160921
1316.67123,218839
1323.66611,368087
1340.66382,760068
1343.67156,495130
1346.71859,472115
1427.72812,3463368
1437.67284,362470
1441.71083,287666
1529.77523,208852
1561.79806,1293713
1562.78243,657898
1586.75695,423997
1604.81382,439505
1615.82037,651106
1648.82904,569243
1653.71831,204100
1699.88892,228727
1706.77310,444128
1716.91614,601173
1766.83175,236513
1804.93042,1783088
1806.74197,765636
1815.79148,246162
1820.76002,671101
1822.73903,314392
1832.86022,740992
1836.75274,432164
1838.97506,374327
1860.93135,271635
1864.84918,415169
1892.92139,393786
1958.96896,374218
1975.99450,2787536
2056.09285,4104680
2056.97868,1301455
2072.09012,1046725
2131.11619,1370822
2216.05862,474487
2230.96614,235945
2236.02809,313178
2270.03248,583146
2402.14558,218182
2466.18938,249422
2594.17017,397229
2596.14855,563856
2610.16811,700612
2689.25847,2222180
2705.25340,4776241
2775.28159,654375
2883.42419,991026
2889.35134,999625
3001.36679,297169
3017.36125,1192372
3033.48869,1404319
3036.40514,218092
3084.41262,856359
3100.41128,2161483
3116.40910,3795907
3132.40524,2219233
3339.67416,473271
3517.45497,268895
3651.55217,657941
3722.59295,812491
4112.93734,487528
4271.00510,228679
4348.11578,614588
4364.10680,548107
4479.12134,694268
